Year,Brand,Model,Mileage_k,Mileage,Rating,Review Count,Price
2023,Mercedes-Benz,AMG E 53 4MATIC,4,389,4.8,527,"$77,000 "
2023,Mercedes-Benz,EQB 350  4MATIC,3,526,4.7,"1,372","$53,900 "
2023,Mercedes-Benz,AMG GLE 63 S,13,740,4.3,419,"$112,997 "
2023,Mercedes-Benz,C-Class C 300 4MATIC,4,484,4.6,696,"$46,888 "
2023,Mercedes-Benz,GLS 580 4MATIC,2,505,4.4,297,"$97,397 "
2023,Mercedes-Benz,EQB 350  4MATIC,2,27,4.7,"2,308","$49,777 "
2023,Mercedes-Benz,CLA 250  4MATIC,1,264,4,1,"$41,200 "
2023,Mercedes-Benz,GLB 250 ,7,563,4.6,"1,915","$43,777 "
2023,Mercedes-Benz,AMG E 53 E 53 AMG,2,435,4,1000,"$68,398 "
2018,Mercedes-Benz,AMG E 63 S 4MATIC,19,454,5,"1,502","$73,990 "
2019,Mercedes-Benz,AMG E 53  4MATIC,8,257,4,1000,"$49,500 "
2023,Mercedes-Benz,AMG GLB 35 ,3,676,4.4,"2,963","$48,846 "
2023,Mercedes-Benz,GLB 250  4MATIC,2,900,3.9,"1,800","$45,900 "
2022,Mercedes-Benz,AMG GT 53 ,1,533,4.4,"2,963","$93,888 "
2024,Mercedes-Benz,C-Class C 300 4MATIC,2,195,4.6,696,"$47,222 "
2021,Mercedes-Benz,CLA 250  4MATIC,29,414,4.2,862,"$33,951 "
2020,Mercedes-Benz,AMG CLS 53  4MATIC,29,65,4.5,344,"$59,900 "
2020,Mercedes-Benz,GLC 300  4MATIC,16,340,4.7,29,"$37,650 "
2023,Mercedes-Benz,EQE 350+ ,5,848,4,15,"$59,700 "
2020,Mercedes-Benz,GLC 300  4MATIC,49,726,4.8,902,"$27,412 "
2023,Mercedes-Benz,Sprinter 2500 Standard Roof,31,830,4.7,662,"$57,453 "
2023,Mercedes-Benz,GLB 250 ,15,393,4.8,894,"$44,196 "
2020,Mercedes-Benz,AMG GLC 43  4MATIC,39,115,5,"1,502","$45,551 "
2023,Mercedes-Benz,GLB 250 ,10,827,4.6,"1,915","$39,864 "
2022,Mercedes-Benz,GLE 350 ,72,646,4,15,"$41,929 "
2023,Mercedes-Benz,GLB 250 ,7,633,4.6,"1,915","$44,777 "
2021,Mercedes-Benz,A-Class A 220 4MATIC,16,385,4,37,"$30,400 "
2021,Mercedes-Benz,GLA 250  4MATIC,23,56,4,150,"$31,336 "
2023,Mercedes-Benz,AMG GT 53 ,2,489,4.7,"1,239","$107,999 "
2022,Mercedes-Benz,AMG GT 53 ,14,344,4.7,"1,239","$89,999 "
2022,Mercedes-Benz,EQS 580  4MATIC,6,451,4.9,"2,166","$98,444 "
2021,Mercedes-Benz,AMG GLS 63  4MATIC,18,228,4.8,969,"$99,795 "
2023,Mercedes-Benz,AMG C 63 S,5,462,4.3,"1,152","$105,999 "
2023,Mercedes-Benz,CLA 250  4MATIC,4,497,3.9,"1,800","$43,900 "
2023,Mercedes-Benz,C-Class C 300 4MATIC,5,146,4.6,696,"$47,222 "
2023,Mercedes-Benz,GLS 450 4MATIC,15,581,4.7,110,"$78,899 "
2024,Mercedes-Benz,C-Class C 300 4MATIC,4,140,4.6,696,"$44,222 "
2019,Mercedes-Benz,G-Class G 550 4MATIC,35,705,4.5,843,"$112,498 "
2024,Mercedes-Benz,C-Class C 300 4MATIC,2,355,4.6,696,"$46,888 "
2021,Mercedes-Benz,AMG E 53  4MATIC,29,348,4.8,"2,468","$67,983 "
